startup_id,startup_name,industry,founding_year,city,employees,monthly_active_users,monthly_revenue,monthly_burn_rate,funding_raised_usd,funding_stage,business_model,remote_friendly,customer_rating,churn_rate,ai_adoption_score,profitable,growth_level
ST0020,"Irwin, Wright and Bruce",FinTech,2024,Hyderabad,30,154138,2389174.7,3333384.35,26579750.46,Series A,Subscription,True,2.6,0.21,24,False,Medium
ST0021,Vazquez Ltd,E-commerce,2019,Delhi,487,150336,1238614.59,1205017.04,30988106.44,Series B,B2C,False,3.5,0.24,67,True,Medium
ST0022,"Crosby, Johnson and Jones",SaaS,2024,Hyderabad,207,35308,3361734.21,1983410.42,15843050.95,Seed,B2C,False,4.4,0.04,59,True,Medium
ST0023,Carr-Pena,Cybersecurity,2024,Ahmedabad,72,92490,4405512.23,5916828.99,18507878.08,Seed,Marketplace,True,2.9,0.34,91,False,Medium
ST0024,Collins-Morgan,E-commerce,2018,Mumbai,485,36203,1329684.95,1803885.87,37133713.36,Series C,Marketplace,True,2.9,0.12,27,False,Low
ST0025,"Gallagher, Combs and Perez",HealthTech,2022,Ahmedabad,52,167273,2123643.11,1188569.69,227107.17,Series C,B2B,True,4.4,0.26,34,True,Medium
ST0026,Rivera and Sons,AI,2019,Chennai,43,182146,4520603.57,4110437.35,41738021.24,Seed,Marketplace,True,4.0,0.07,17,True,High
ST0027,Barnett-Wood,HealthTech,2018,Pune,354,66412,3337997.72,2202351.56,28016181.78,Series A,Subscription,True,4.7,0.39,96,True,Medium
ST0028,Pugh-Dixon,Cybersecurity,2017,Hyderabad,96,194085,4623191.6,5626897.8,20615072.67,Series C,B2B,False,4.2,0.3,32,False,High
ST0029,"Torres, White and Roberts",EdTech,2021,Chennai,118,53316,4084767.16,3261254.43,15294283.82,Series B,B2B,False,4.5,0.1,4,True,High
ST0030,"Lopez, Oliver and Reilly",HealthTech,2024,Mumbai,184,169160,2551934.32,2764698.15,42190875.11,Seed,B2B,False,3.3,0.02,34,False,Medium
ST0031,Cruz-Mack,Cybersecurity,2015,Kolkata,181,191983,3934276.61,3018817.85,49212580.67,Seed,B2C,False,2.8,0.36,25,True,Medium
ST0032,Jenkins-Hernandez,Robotics,2019,Kolkata,225,19343,4744883.68,6628612.53,31176612.73,Series B,Subscription,False,4.2,0.06,39,False,High
ST0033,Shepard PLC,Cybersecurity,2021,Ahmedabad,288,34367,967282.06,1029583.02,18988306.59,Seed,Marketplace,False,4.4,0.08,73,False,Medium
ST0034,"Dunn, Sweeney and Luna",ClimateTech,2017,Hyderabad,112,113692,3930936.55,3886359.89,16146349.03,Series B,Marketplace,True,3.6,0.27,66,True,Medium
ST0035,"Mendoza, Blake and Hernandez",SaaS,2016,Noida,424,197906,1181994.31,713387.11,40337816.58,Series C,B2C,False,2.9,0.03,61,True,Medium
ST0036,Byrd-Williams,Gaming,2018,Pune,258,105766,1227482.35,1292385.99,326963.67,Series C,B2B,True,4.4,0.31,14,False,Low
ST0037,Oliver PLC,ClimateTech,2024,Ahmedabad,474,32813,2287744.51,2841016.26,33395507.74,Series C,Subscription,True,5.0,0.24,97,False,Medium
ST0038,Hernandez-Gonzalez,EdTech,2019,Noida,385,125433,2255848.09,2655832.11,42001151.25,Seed,Marketplace,True,3.2,0.31,63,False,Medium
ST0039,Clark-Schaefer,EdTech,2016,Kolkata,144,89040,1605350.75,1448344.06,6961784.37,Series C,Marketplace,False,3.1,0.28,91,True,Low
ST0040,"Martin, Walker and Johnson",SaaS,2021,Noida,217,17322,1042103.6,777603.71,45246681.99,Seed,Marketplace,False,4.0,0.28,98,True,Low
ST0041,Holder Group,EdTech,2022,Delhi,390,103232,4268705.27,6144628.1,20980113.07,Series B,Subscription,False,4.4,0.22,78,False,High
ST0042,Caldwell LLC,SaaS,2023,Bangalore,19,102936,1687286.42,1827136.23,20245617.62,Series C,B2B,True,2.9,0.19,17,False,Medium
ST0043,Miles Inc,E-commerce,2021,Mumbai,334,113358,687140.44,549855.26,2561717.44,Series C,Marketplace,True,3.4,0.09,42,True,Medium
ST0044,Miles Ltd,AI,2015,Delhi,245,6081,3747631.06,1003283.15,47598388.63,Series A,B2B,True,3.1,0.04,84,True,Medium
ST0045,Blackwell-Fisher,HealthTech,2024,Jaipur,127,34088,2373069.69,827504.3,47390463.26,Seed,B2C,False,3.7,0.11,48,True,Medium
ST0046,Cobb Inc,EdTech,2016,Jaipur,60,152698,138135.34,83647.08,33883496.98,Series A,B2B,False,4.9,0.16,92,True,Medium
ST0047,Johnson-Padilla,E-commerce,2016,Ahmedabad,440,180374,3006053.96,1074278.27,49193025.36,Series B,B2B,False,4.5,0.15,55,True,High
ST0048,Christian PLC,HealthTech,2023,Mumbai,426,129503,536638.96,777602.65,31797476.05,Series C,Subscription,False,4.6,0.29,56,False,Low
ST0049,Gregory-Mccoy,EdTech,2022,Jaipur,427,192634,2966448.35,1836219.54,12312483.7,Series C,Marketplace,True,4.8,0.12,58,True,High
ST0050,"Garcia, Avery and Cooper",Cybersecurity,2023,Bangalore,258,86200,917380.89,436449.28,39901726.22,Series A,B2B,True,3.4,0.35,90,True,Low
ST0051,"Walker, Butler and Lawrence",FinTech,2019,Delhi,373,107542,2448003.46,2902387.3,34545936.51,Series C,B2C,False,4.1,0.2,3,False,Medium
ST0052,Blackburn LLC,ClimateTech,2019,Mumbai,344,153451,1851412.05,1702400.86,17220681.84,Series B,B2C,True,5.0,0.22,46,True,Medium
ST0053,Allen PLC,ClimateTech,2019,Jaipur,374,51484,1584584.24,1847221.76,47546334.14,Series B,B2B,True,4.2,0.08,95,False,Medium
ST0054,Griffin PLC,Robotics,2019,Pune,156,60633,1810796.54,1073707.94,35415523.36,Series C,B2B,True,2.8,0.03,7,True,Medium
ST0055,Richardson-Gutierrez,FinTech,2016,Kolkata,298,75537,2352290.76,1817402.04,9258965.34,Series C,B2B,True,2.6,0.38,62,True,Low
ST0056,"Gibson, Hoffman and Villarreal",SaaS,2024,Jaipur,82,40111,4057598.96,5818042.38,4304786.37,Series A,Subscription,False,3.1,0.23,54,False,Medium
ST0057,Krueger Group,FinTech,2018,Delhi,470,117056,1493792.13,1441632.91,21470050.32,Series B,B2B,True,3.9,0.03,95,True,Medium
ST0058,Barker LLC,EdTech,2019,Mumbai,127,46564,2764441.31,1115431.06,20455452.75,Series C,B2B,True,4.2,0.19,5,True,Medium
ST0059,Burgess Ltd,EdTech,2025,Pune,478,70351,3941261.85,3990824.83,33076092.99,Series B,B2C,True,4.8,0.18,70,False,High
ST0060,"Smith, Cole and Velasquez",Cybersecurity,2021,Mumbai,35,44495,3965216.55,3860365.31,41220803.05,Series C,Subscription,True,4.8,0.18,60,True,Medium
ST0061,Rodriguez Group,SaaS,2024,Bangalore,311,11449,4448220.22,5137223.29,30205496.37,Series B,B2B,True,2.6,0.1,87,False,Medium
ST0062,Vargas Ltd,FinTech,2022,Chennai,245,137043,3261032.35,4535752.37,9115382.9,Series C,Marketplace,False,4.0,0.26,63,False,Medium
ST0063,Estrada-Mitchell,Robotics,2015,Noida,348,28420,4290088.14,2697370.45,34699000.02,Seed,Marketplace,False,3.2,0.38,98,True,Medium
ST0064,Phillips Inc,ClimateTech,2021,Bangalore,170,31388,4851221.79,3519210.05,25754082.8,Series A,Marketplace,False,5.0,0.27,70,True,High
ST0065,"Torres, Gonzalez and Morgan",ClimateTech,2016,Bangalore,325,116878,3802352.77,1766670.85,27483520.97,Series A,B2C,False,4.8,0.18,90,True,High
ST0066,Miller-Fuller,HealthTech,2022,Mumbai,287,4584,2765734.53,888276.38,49613244.11,Series B,Subscription,False,4.8,0.19,16,True,Medium
ST0067,"Gutierrez, Rivera and Johnson",FinTech,2019,Kolkata,246,64892,2289364.5,888352.54,9570988.03,Series B,Marketplace,True,4.0,0.3,18,True,Medium
ST0068,"Davis, Walsh and Carroll",ClimateTech,2020,Chennai,149,191329,1499793.69,1444329.88,49945171.54,Series C,Subscription,False,3.7,0.07,69,True,Medium
ST0069,Gomez-Roth,ClimateTech,2021,Kolkata,450,50454,4904065.41,2503266.49,19179393.9,Series A,Subscription,True,4.6,0.17,41,True,High
ST0070,"Thompson, Rubio and Anderson",AI,2017,Kolkata,69,132672,4827114.41,3048772.23,5063211.88,Series A,B2B,False,4.6,0.05,59,True,High
ST0071,Phillips-Turner,Gaming,2020,Noida,405,70474,1699420.56,1870239.48,32509340.8,Seed,B2B,True,4.6,0.34,69,False,Medium
ST0072,Taylor Ltd,FinTech,2022,Pune,328,180411,4605436.2,6892743.13,37350980.02,Series B,B2B,True,3.6,0.05,82,False,High
ST0073,"Mclean, Davenport and Miranda",HealthTech,2017,Hyderabad,171,15711,1473905.2,1013005.34,7321211.3,Series C,B2C,False,3.8,0.23,24,True,Low
ST0074,Le Group,Cybersecurity,2025,Ahmedabad,472,153871,724157.42,578960.15,12736168.1,Series A,B2B,False,3.1,0.01,60,True,Medium
ST0075,Simon-Thompson,EdTech,2021,Noida,488,91587,4938381.96,2908215.72,48103352.19,Seed,B2C,False,4.2,0.19,39,True,High
ST0076,Hull-Morris,AI,2024,Bangalore,297,95098,2878311.53,4290122.35,14796776.16,Series C,Marketplace,True,4.9,0.27,36,False,Medium
ST0077,Ponce-Freeman,HealthTech,2025,Hyderabad,315,93358,1102832.65,493155.43,12568808.66,Seed,Marketplace,False,4.4,0.31,88,True,Low
ST0078,"Cisneros, Ward and Alvarez",HealthTech,2023,Chennai,22,152931,1830657.55,678872.53,45485909.23,Series B,B2C,False,3.3,0.17,26,True,Medium
ST0079,Snyder-Garza,HealthTech,2018,Kolkata,472,127313,4837246.54,2823422.85,43526328.12,Series B,B2B,False,4.5,0.19,10,True,High
ST0080,Chang Inc,E-commerce,2016,Delhi,12,70326,2687495.82,2126405.38,33657777.67,Series C,B2B,False,4.2,0.24,82,True,Medium
ST0081,Ochoa Group,FinTech,2017,Bangalore,473,160929,1114622.33,314526.53,41201574.8,Seed,Marketplace,False,4.8,0.13,53,True,Medium
ST0082,Swanson-Wade,Robotics,2021,Jaipur,64,26478,1181652.16,1062081.47,19462859.27,Series A,Subscription,True,3.4,0.38,90,True,Low
ST0083,Harrington Ltd,EdTech,2020,Hyderabad,431,129279,3082104.55,4378958.55,14023020.0,Series B,Marketplace,True,4.2,0.09,57,False,High
ST0084,"Ramirez, Smith and Gonzalez",SaaS,2015,Bangalore,208,73320,957144.73,343430.84,42409257.76,Series B,B2C,True,3.6,0.27,83,True,Low
ST0085,"Smith, Robinson and Hanson",E-commerce,2017,Jaipur,407,149000,1033975.82,1322210.22,27732679.03,Seed,Marketplace,True,4.0,0.33,30,False,Low
ST0086,White-Holland,SaaS,2020,Bangalore,71,142614,1260764.44,538152.58,33069829.25,Series A,Marketplace,True,2.6,0.02,31,True,Medium
ST0087,"Prince, Mccoy and King",FinTech,2022,Ahmedabad,69,195436,2110593.18,733946.32,3224724.01,Series A,B2B,False,3.6,0.15,76,True,Medium
ST0088,Williams-Jones,ClimateTech,2016,Hyderabad,239,169647,4820490.65,1345268.93,23975146.45,Series B,B2C,True,3.5,0.28,63,True,High
ST0089,"Ray, Banks and Weaver",ClimateTech,2023,Jaipur,69,73093,3125344.3,3003374.91,35622032.18,Series C,B2B,True,3.5,0.24,38,True,Medium
ST0090,Woods-Burton,Gaming,2020,Noida,441,172629,3258074.16,3908553.71,36055953.84,Series C,Subscription,True,3.0,0.19,30,False,Medium
ST0091,"Mullen, Ingram and Martinez",FinTech,2016,Kolkata,165,112873,1569492.62,833960.47,47681946.26,Seed,Marketplace,True,4.2,0.19,12,True,Medium
ST0092,Austin PLC,Gaming,2015,Mumbai,289,16723,2936460.76,2731091.56,16515816.77,Series B,Marketplace,True,2.8,0.15,86,True,Medium
ST0093,Decker-Nichols,FinTech,2019,Jaipur,300,134015,1071566.64,1129171.06,11251031.21,Series A,Subscription,True,2.8,0.34,48,False,Low
ST0094,Cruz-Bryant,E-commerce,2015,Pune,316,173446,4149009.34,2272337.91,9061782.79,Series A,Subscription,True,4.3,0.13,44,True,High
ST0095,Campbell-Robinson,HealthTech,2020,Mumbai,77,195240,3169528.34,760224.77,37318282.51,Series B,B2B,True,3.0,0.17,44,True,Medium
ST0096,Strickland Ltd,ClimateTech,2021,Mumbai,84,42264,3774635.04,999112.83,4124997.3,Series A,B2B,False,3.6,0.18,78,True,Medium
ST0097,"Rivera, Hull and Craig",SaaS,2015,Bangalore,225,30069,1423399.89,1540164.42,24357306.03,Series A,Marketplace,True,4.2,0.03,51,False,Medium
ST0098,Mack Group,Gaming,2023,Delhi,397,36975,3823162.87,2203217.16,6043217.97,Series B,B2B,False,3.7,0.18,17,True,Medium
ST0099,Sosa-Herrera,Gaming,2025,Kolkata,446,195521,221088.29,49604.25,46062063.6,Series B,B2B,False,4.7,0.23,74,True,Medium
ST0100,"Alvarado, Robinson and Mcdonald",FinTech,2018,Kolkata,15,86136,867647.17,1242382.77,23031840.25,Series C,B2B,False,4.2,0.15,56,False,Medium
ST0101,"Smith, Adams and Ritter",Robotics,2018,Chennai,450,82336,3731566.08,1821167.23,38966937.54,Series B,B2C,True,2.7,0.26,68,True,Medium
ST0102,"Herring, Roberts and Bryant",ClimateTech,2022,Jaipur,57,39389,1287281.43,547800.98,7685845.96,Series C,Marketplace,False,4.4,0.04,99,True,Medium
ST0103,"Green, Smith and Chambers",FinTech,2019,Noida,82,116281,350748.43,271784.61,15175880.74,Series C,B2B,True,3.2,0.03,65,True,Low
ST0104,Beard Inc,SaaS,2023,Bangalore,193,76255,392887.7,519996.71,42771903.9,Series C,B2C,False,4.0,0.21,60,False,Low
ST0105,Lawrence LLC,FinTech,2023,Pune,314,125683,2511822.84,3629682.13,22553629.3,Seed,B2C,False,4.5,0.34,92,False,Medium
ST0106,"Robbins, Taylor and Costa",SaaS,2015,Chennai,229,138381,2618512.7,1064085.19,18673956.51,Seed,Marketplace,True,3.2,0.17,44,True,Medium
ST0107,Ellis and Sons,E-commerce,2016,Jaipur,290,178833,1938955.38,1022982.23,42585734.69,Series A,Marketplace,False,4.9,0.25,20,True,Medium
ST0108,"Riley, Clayton and Ward",E-commerce,2017,Ahmedabad,500,172980,3495415.01,2480155.57,29772309.35,Seed,Subscription,False,4.8,0.13,49,True,High
ST0109,"Yang, Peters and Farrell",HealthTech,2016,Mumbai,14,96052,1551241.69,2228389.88,17119530.64,Seed,B2B,False,4.4,0.08,18,False,Medium
ST0110,Thompson-Jennings,ClimateTech,2015,Kolkata,453,163013,663934.72,457939.57,8154248.24,Series B,B2C,False,4.6,0.31,22,True,Medium
ST0111,"Butler, Leonard and Lane",EdTech,2020,Jaipur,317,75692,3764431.91,4588618.39,11738447.07,Series C,Subscription,False,3.1,0.39,61,False,Medium
ST0112,"Byrd, Burgess and Knight",AI,2025,Noida,403,101105,2519504.39,1875164.01,8144805.75,Series B,B2B,True,3.0,0.25,33,True,Medium
ST0113,Gonzales Group,ClimateTech,2020,Bangalore,150,22987,3817952.98,2117546.26,45270045.14,Series C,B2B,False,2.9,0.18,29,True,Medium
ST0114,Mcpherson and Sons,E-commerce,2017,Pune,262,99031,1186532.59,1771354.28,18776888.04,Seed,Marketplace,False,2.6,0.37,92,False,Low
ST0115,Martin-Walker,HealthTech,2023,Jaipur,361,37383,3796617.36,3074664.62,30786645.45,Series C,B2B,False,4.8,0.02,28,True,High
ST0116,"Lane, Mason and Allen",SaaS,2023,Bangalore,126,79944,618023.24,315174.15,31965639.02,Series A,B2C,False,4.1,0.03,64,True,Medium
ST0117,Rodriguez Ltd,FinTech,2023,Ahmedabad,224,1410,3077899.82,1578142.38,20857551.38,Seed,Subscription,False,4.2,0.04,47,True,Medium
ST0118,"Harrington, Lawson and Lindsey",FinTech,2024,Chennai,27,167637,1940537.79,1329837.16,37378463.75,Series A,B2B,False,3.4,0.04,31,True,Medium
ST0119,Johnson-Perez,HealthTech,2017,Hyderabad,284,89748,4069409.24,1740143.95,38968172.54,Series C,B2B,False,3.7,0.28,81,True,Medium
ST0120,Thompson-Bryant,ClimateTech,2019,Bangalore,108,12483,3957634.97,5348852.5,15814011.21,Series A,Marketplace,False,3.3,0.17,70,False,Medium
ST0121,Allen Ltd,ClimateTech,2021,Chennai,446,13531,4330333.4,2734614.6,6267526.66,Series A,Subscription,False,3.4,0.36,96,True,Medium
ST0122,Randall LLC,Robotics,2019,Chennai,193,137125,1340936.27,412197.05,21253758.08,Seed,B2B,False,3.6,0.4,24,True,Low
ST0123,"Weaver, Guerrero and Ortega",E-commerce,2024,Kolkata,343,78500,1539414.32,1513872.54,21334497.84,Series B,B2B,True,4.2,0.15,6,True,Medium
ST0124,"Hall, Carrillo and James",ClimateTech,2015,Pune,348,168120,2036989.06,1766093.6,37507404.31,Seed,B2C,False,2.9,0.02,78,True,Medium
ST0125,Jones LLC,FinTech,2024,Pune,190,101362,4747840.89,1149456.65,7714236.26,Series B,Subscription,False,3.6,0.15,57,True,High
ST0126,"Brown, Ray and Goodwin",FinTech,2019,Mumbai,337,74056,1255562.15,436286.75,36796959.23,Series C,B2C,False,3.7,0.16,72,True,Medium
ST0127,"Harding, Flores and Castillo",E-commerce,2025,Chennai,360,129765,1008889.92,379793.53,3748899.36,Seed,Marketplace,False,2.9,0.29,12,True,Low
ST0128,Spencer Inc,EdTech,2017,Delhi,440,42289,3561927.43,5006366.63,31903116.13,Series C,B2B,False,4.5,0.21,16,False,Medium
ST0129,Boyd-Ryan,Gaming,2022,Ahmedabad,288,151019,1850866.72,2303885.31,27604764.35,Series C,Subscription,True,4.0,0.04,40,False,Medium
ST0130,Frye-Rivera,Robotics,2025,Jaipur,69,84106,3215269.56,2523880.0,34021444.08,Series A,B2C,False,3.4,0.35,100,True,Medium
ST0131,Johnson Inc,E-commerce,2023,Mumbai,262,15526,4158640.12,3632708.44,15241020.91,Seed,Marketplace,True,2.9,0.37,29,True,Medium
ST0132,"Adams, Miller and Jarvis",SaaS,2017,Pune,330,145399,1379510.66,1396794.65,30740692.5,Series B,B2B,True,2.7,0.26,76,False,Low
ST0133,"Beasley, Sandoval and Andrews",AI,2022,Ahmedabad,46,12917,4743248.8,5702945.96,13269562.6,Series B,Marketplace,False,3.0,0.23,80,False,Medium
ST0134,Hodges-Dickerson,EdTech,2020,Jaipur,130,180566,2036401.71,1607957.8,34446247.91,Series A,Marketplace,False,2.9,0.17,60,True,Medium
ST0135,Allen Inc,FinTech,2019,Noida,380,91536,4877116.9,1804513.73,18558482.89,Series A,B2C,True,3.9,0.13,60,True,High
ST0136,Bryant-Tapia,SaaS,2020,Delhi,30,77077,4727470.61,6256396.09,20935830.43,Series A,Subscription,False,4.9,0.36,42,False,High
ST0137,"Solis, Coleman and Kelly",E-commerce,2015,Bangalore,260,81882,2491877.66,790084.26,19692447.1,Series B,Subscription,False,3.6,0.1,75,True,Medium
ST0138,"Gomez, Moore and Rosario",E-commerce,2015,Kolkata,151,141690,50805.26,17260.89,6740050.45,Seed,B2C,False,3.2,0.15,52,True,Low
ST0139,"Ortiz, Glover and Fritz",SaaS,2016,Pune,288,76655,376923.43,322470.13,38231985.53,Seed,Subscription,False,3.2,0.4,88,True,Low
ST0140,"Hood, Valdez and Taylor",AI,2015,Pune,411,89889,2793580.87,1886472.44,7256154.6,Series B,Subscription,False,4.0,0.17,6,True,Medium
ST0141,Thompson Ltd,Cybersecurity,2024,Chennai,81,159927,4466727.14,1705018.01,46571868.34,Series C,Marketplace,False,3.3,0.16,79,True,High
ST0142,"Lam, Cameron and Patton",AI,2024,Noida,422,5361,1848105.47,1988465.96,48995906.66,Series B,B2C,True,4.0,0.32,93,False,Low
ST0143,"Anderson, Johnson and Morris",EdTech,2015,Jaipur,303,126946,860855.19,876120.57,31005803.48,Seed,B2C,True,4.6,0.07,88,False,Medium
ST0144,"Olson, Armstrong and Wallace",AI,2017,Ahmedabad,230,83232,2099713.69,1547170.13,10234389.55,Series A,Marketplace,False,3.8,0.25,61,True,Medium
ST0145,Edwards Group,Cybersecurity,2024,Noida,274,99782,1575625.47,669856.92,45610601.84,Series A,B2C,False,3.4,0.15,99,True,Medium
ST0146,Sanders-Campbell,ClimateTech,2020,Noida,290,79249,1132086.52,1658262.01,14915847.54,Series B,Marketplace,False,3.2,0.09,91,False,Medium
ST0147,"Keith, Scott and Kennedy",Cybersecurity,2015,Mumbai,67,151333,3386345.01,2348777.16,49009018.84,Seed,Marketplace,False,4.5,0.38,19,True,Medium
ST0148,Harris-White,HealthTech,2016,Jaipur,340,68225,3739219.11,1788030.45,41406187.59,Series A,B2C,True,3.2,0.23,35,True,Medium
ST0149,Brown Ltd,HealthTech,2015,Ahmedabad,347,140209,1136101.51,571104.06,5054888.05,Series A,Subscription,False,3.3,0.19,88,True,Medium
ST0150,Bautista Group,SaaS,2018,Ahmedabad,249,171534,1005285.31,1460768.27,16092326.72,Seed,B2C,False,4.1,0.36,12,False,Low
ST0151,"Alvarez, Perez and Wilson",Cybersecurity,2015,Bangalore,456,47081,4670273.83,1154686.93,41818349.75,Series B,B2B,False,4.5,0.08,96,True,High
ST0152,"Liu, Riley and Perez",Cybersecurity,2018,Hyderabad,150,120104,4945606.36,4482156.7,24720925.4,Series B,B2C,False,4.8,0.34,60,True,High
ST0153,Durham-Cox,HealthTech,2024,Kolkata,336,68440,3595804.89,784998.2,16888753.36,Series C,Marketplace,True,3.2,0.27,25,True,Medium
ST0154,"Rice, Short and Miles",EdTech,2022,Mumbai,210,176441,485971.68,717386.9,23898832.22,Series B,Marketplace,True,4.8,0.01,50,False,Medium
ST0155,"Pope, Weber and Williams",Robotics,2019,Hyderabad,138,172359,1804164.93,915060.46,33405916.43,Series B,Marketplace,True,3.7,0.07,88,True,Medium
ST0156,Arnold-Edwards,Robotics,2025,Delhi,117,36014,2396127.68,1896468.63,49442456.2,Series A,B2B,False,3.4,0.28,61,True,Medium
ST0157,"Hall, Campbell and Cooper",SaaS,2023,Pune,275,185488,1815306.49,2527665.65,5654829.14,Series A,Marketplace,False,4.6,0.36,26,False,Medium
ST0158,Jimenez Ltd,HealthTech,2023,Kolkata,64,179335,1034953.41,991580.56,4592535.14,Series C,B2B,False,3.8,0.33,59,True,Medium
ST0159,"Clark, Jones and Carter",Gaming,2020,Hyderabad,349,81784,3619167.6,2586739.69,40831838.64,Seed,B2B,False,4.4,0.24,6,True,Medium
ST0160,"Nelson, Poole and Cummings",E-commerce,2021,Noida,21,76259,2050246.01,2459605.68,38303092.76,Series C,Subscription,True,4.9,0.26,54,False,Medium
ST0161,Stewart and Sons,Robotics,2017,Delhi,354,174484,4374023.07,1631015.24,43021314.73,Seed,B2B,False,2.8,0.4,51,True,Medium
ST0162,Marquez-Green,Cybersecurity,2018,Hyderabad,242,177553,3598278.94,2703626.03,18994859.58,Seed,Subscription,True,3.1,0.19,20,True,Medium
ST0163,Turner and Sons,AI,2021,Noida,128,55023,345781.61,336143.77,22349731.26,Series A,B2C,True,4.2,0.35,32,True,Low
ST0164,Walker-Lara,E-commerce,2018,Mumbai,76,133093,4967482.37,2505647.64,45824031.8,Series A,B2C,False,3.9,0.24,99,True,High
ST0165,Lopez PLC,Robotics,2022,Bangalore,158,73129,314178.61,450241.93,43991708.85,Series B,Subscription,False,4.8,0.25,55,False,Low
ST0166,Moyer-King,Cybersecurity,2017,Noida,361,110137,2047213.29,1207559.08,9234754.99,Seed,Subscription,False,3.8,0.1,29,True,Medium
ST0167,Snow Ltd,FinTech,2023,Delhi,290,139934,679122.83,350234.56,10206669.82,Seed,Marketplace,False,4.1,0.37,48,True,Low
ST0168,Bond LLC,EdTech,2022,Delhi,349,159589,3018581.0,4031938.55,9448756.53,Series B,Marketplace,True,4.4,0.29,72,False,Medium
ST0169,Moore and Sons,EdTech,2021,Delhi,113,50813,4810767.01,1695848.57,49978621.75,Series B,Marketplace,False,3.7,0.1,78,True,High
ST0170,Hines-Hopkins,ClimateTech,2020,Delhi,243,140893,3247119.49,1951353.11,18014248.67,Series B,Marketplace,False,4.7,0.19,93,True,High
ST0171,Underwood-Williams,Gaming,2019,Pune,28,148462,4321783.36,5028948.53,860184.06,Series A,Marketplace,True,3.9,0.24,93,False,High
ST0172,"Hale, Phelps and Smith",ClimateTech,2022,Pune,199,150366,4168479.95,3539422.67,32747667.91,Series B,B2C,True,4.2,0.11,63,True,High
ST0173,Lee-Watts,FinTech,2025,Bangalore,373,144273,2446698.44,3405728.89,27129735.92,Seed,Subscription,True,4.1,0.03,5,False,Medium
ST0174,"Ramirez, Kerr and Shelton",SaaS,2022,Noida,436,166334,1164852.63,1303843.35,506616.01,Seed,B2B,False,3.8,0.16,80,False,Medium
